epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.9718,3.25446,4.57313,4.90965,4.00405,0.00447,0.17945,0.00949,0.00365,0.00341,0.15249,0.00888,0.00396,2.61951,4.53458,4.47191,4.09446,0.00331967,0.00331967,0.00331967
2,166.356,2.11578,3.18196,3.31386,2.78657,0.33498,0.27306,0.19783,0.12387,0.3276,0.25958,0.18759,0.12439,1.67589,3.32651,3.40717,2.489,0.0066091,0.0066091,0.0066091
3,247.048,1.38826,2.60264,2.45158,1.92254,0.22884,0.3758,0.26193,0.1729,0.22513,0.40233,0.26371,0.18233,1.57991,2.96787,4.45638,2.33997,0.00985452,0.00985452,0.00985452
4,325.752,1.1564,2.26279,2.00704,1.6223,0.46462,0.43827,0.41211,0.29939,0.44979,0.41953,0.38729,0.29629,1.16992,2.64771,2.73618,1.78391,0.009802,0.009802,0.009802
5,402.782,1.0134,2.03365,1.67025,1.47319,0.60043,0.47803,0.50345,0.36435,0.60106,0.46021,0.48103,0.35977,1.06261,2.39516,1.83218,1.67571,0.009736,0.009736,0.009736
6,481.551,0.9673,1.94953,1.48309,1.40333,0.47274,0.56627,0.53974,0.41293,0.48019,0.50707,0.49776,0.39736,0.97218,2.29522,1.71875,1.5345,0.00967,0.00967,0.00967
7,558.241,0.91079,1.82395,1.34531,1.34873,0.65656,0.53745,0.60014,0.46994,0.63352,0.51725,0.56836,0.45298,0.89931,2.21131,1.3302,1.46165,0.009604,0.009604,0.009604
8,635.444,0.87783,1.77602,1.24489,1.31919,0.65417,0.53853,0.5991,0.46042,0.61839,0.55062,0.58601,0.45411,0.87894,2.16843,1.49026,1.44757,0.009538,0.009538,0.009538
9,714.717,0.84111,1.70643,1.15705,1.27979,0.68141,0.60887,0.66667,0.53359,0.66971,0.59251,0.63939,0.52118,0.7986,2.02093,1.27739,1.36142,0.009472,0.009472,0.009472
10,790.56,0.82801,1.66104,1.11054,1.27157,0.66649,0.65382,0.7046,0.57145,0.67053,0.64673,0.69447,0.56372,0.75671,1.91965,1.0845,1.3055,0.009406,0.009406,0.009406
11,867.015,0.81541,1.655,1.06488,1.25335,0.64203,0.6846,0.69347,0.56093,0.61919,0.66625,0.66418,0.54241,0.74464,1.97741,1.1405,1.29342,0.00934,0.00934,0.00934
12,943.033,0.79532,1.61298,1.01595,1.22888,0.6921,0.69055,0.72893,0.60045,0.68909,0.6818,0.71651,0.59716,0.70062,1.84013,1.06507,1.25036,0.009274,0.009274,0.009274
13,1019.32,0.77129,1.57312,0.97657,1.21955,0.78745,0.65065,0.74693,0.60857,0.78976,0.6437,0.73387,0.607,0.7126,1.84904,1.00137,1.25394,0.009208,0.009208,0.009208
14,1096.59,0.76188,1.5394,0.94767,1.20232,0.73909,0.6684,0.73837,0.6116,0.74972,0.66578,0.73046,0.60403,0.67372,1.78695,0.97017,1.21268,0.009142,0.009142,0.009142
15,1174.27,0.75383,1.53717,0.9248,1.19432,0.71907,0.67624,0.73708,0.6154,0.70805,0.66757,0.71953,0.60157,0.69275,1.80392,1.00565,1.22654,0.009076,0.009076,0.009076
16,1249.05,0.75119,1.5364,0.91315,1.18897,0.80959,0.69856,0.78495,0.65491,0.80393,0.69397,0.77156,0.6431,0.6593,1.75998,0.88492,1.19857,0.00901,0.00901,0.00901
